2026-09-02 05:24:52.621 | DEBUG    | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:535 -   K=3: 1,264,452 candidates, 180 chunk(s), group data 0.0 GB, budget 3,943,682,589 cands/chunk
2026-09-02 05:24:52.622 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 1/180: candidates [0, 875,180)
2026-09-02 05:24:52.633 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 1/180 filtering: 875,180 candidates → 13,784 frequent (1.6% pass rate, min_count=50)
2026-09-02 05:24:52.633 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 2/180: candidates [875,180, 875,261) (legacy sub-chunk)
2026-09-02 05:24:52.636 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 2/180 filtering: 81 candidates → 32 frequent (39.5% pass rate, min_count=50)
2026-09-02 05:24:52.636 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 3/180: candidates [875,261, 876,260)
2026-09-02 05:24:52.638 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 3/180 filtering: 999 candidates → 88 frequent (8.8% pass rate, min_count=50)
2026-09-02 05:24:52.638 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 4/180: candidates [876,260, 876,275) (legacy sub-chunk)
2026-09-02 05:24:52.639 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 4/180 filtering: 15 candidates → 8 frequent (53.3% pass rate, min_count=50)
2026-09-02 05:24:52.639 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 5/180: candidates [876,275, 876,551)
2026-09-02 05:24:52.642 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 5/180 filtering: 276 candidates → 62 frequent (22.5% pass rate, min_count=50)
2026-09-02 05:24:52.642 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 6/180: candidates [876,551, 876,600) (legacy sub-chunk)
2026-09-02 05:24:52.643 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 6/180 filtering: 49 candidates → 10 frequent (20.4% pass rate, min_count=50)
2026-09-02 05:24:52.643 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 7/180: candidates [876,600, 877,420)
2026-09-02 05:24:52.645 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 7/180 filtering: 820 candidates → 209 frequent (25.5% pass rate, min_count=50)
2026-09-02 05:24:52.645 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 8/180: candidates [877,420, 877,465) (legacy sub-chunk)
2026-09-02 05:24:52.646 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 8/180 filtering: 45 candidates → 26 frequent (57.8% pass rate, min_count=50)
2026-09-02 05:24:52.646 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 9/180: candidates [877,465, 880,727)
2026-09-02 05:24:52.649 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 9/180 filtering: 3,262 candidates → 720 frequent (22.1% pass rate, min_count=50)
