2026-09-02 00:52:08.056 | INFO     | __main__:main:98 - Rust extension (et_miner_rust): OK
2026-09-02 00:52:10.340 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 1/66: candidates [0, 587,041)
2026-09-02 00:52:10.359 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 1/66 filtering: 587,041 candidates → 5,841 frequent (1.0% pass rate, min_count=20)
2026-09-02 00:52:10.359 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 2/66: candidates [587,041, 587,048) (legacy sub-chunk)
2026-09-02 00:52:10.363 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 2/66 filtering: 7 candidates → 6 frequent (85.7% pass rate, min_count=20)
2026-09-02 00:52:10.363 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 3/66: candidates [587,048, 587,673)
2026-09-02 00:52:10.365 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 3/66 filtering: 625 candidates → 143 frequent (22.9% pass rate, min_count=20)
2026-09-02 00:52:10.365 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 4/66: candidates [587,673, 587,724) (legacy sub-chunk)
2026-09-02 00:52:10.367 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 4/66 filtering: 51 candidates → 18 frequent (35.3% pass rate, min_count=20)
2026-09-02 00:52:10.367 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 5/66: candidates [587,724, 587,802)
2026-09-02 00:52:10.368 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 5/66 filtering: 78 candidates → 7 frequent (9.0% pass rate, min_count=20)
2026-09-02 00:52:10.368 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 6/66: candidates [587,802, 587,841) (legacy sub-chunk)
2026-09-02 00:52:10.369 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 6/66 filtering: 39 candidates → 12 frequent (30.8% pass rate, min_count=20)
2026-09-02 00:52:10.370 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 7/66: candidates [587,841, 587,919)
2026-09-02 00:52:10.371 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 7/66 filtering: 78 candidates → 51 frequent (65.4% pass rate, min_count=20)
2026-09-02 00:52:10.371 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 8/66: candidates [587,919, 587,929) (legacy sub-chunk)
2026-09-02 00:52:10.372 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 8/66 filtering: 10 candidates → 9 frequent (90.0% pass rate, min_count=20)
2026-09-02 00:52:10.372 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 9/66: candidates [587,929, 588,049)
2026-09-02 00:52:10.374 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 9/66 filtering: 120 candidates → 60 frequent (50.0% pass rate, min_count=20)
2026-09-02 00:52:10.374 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 10/66: candidates [588,049, 588,070) (legacy sub-chunk)
2026-09-02 00:52:10.375 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 10/66 filtering: 21 candidates → 2 frequent (9.5% pass rate, min_count=20)
2026-09-02 00:52:10.375 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 11/66: candidates [588,070, 588,494)
2026-09-02 00:52:10.377 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 11/66 filtering: 424 candidates → 146 frequent (34.4% pass rate, min_count=20)
2026-09-02 00:52:10.377 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 12/66: candidates [588,494, 588,510) (legacy sub-chunk)
2026-09-02 00:52:10.378 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 12/66 filtering: 16 candidates → 3 frequent (18.8% pass rate, min_count=20)
2026-09-02 00:52:10.378 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 13/66: candidates [588,510, 588,576)
2026-09-02 00:52:10.379 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 13/66 filtering: 66 candidates → 29 frequent (43.9% pass rate, min_count=20)
