timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/02 20:13:32.741, 1, 0 %, 0 MiB
2026/09/02 20:13:37.742, 0, 0 %, 21657 MiB
2026/09/02 20:13:37.743, 1, 0 %, 0 MiB
2026/09/02 20:13:42.743, 0, 0 %, 21657 MiB
2026/09/02 20:13:42.744, 1, 0 %, 0 MiB
2026/09/02 20:13:47.744, 0, 0 %, 21657 MiB
2026/09/02 20:13:47.744, 1, 0 %, 0 MiB
2026/09/02 20:13:52.745, 0, 0 %, 21657 MiB
2026/09/02 20:13:52.745, 1, 0 %, 0 MiB
2026/09/02 20:13:57.746, 0, 0 %, 21657 MiB
2026/09/02 20:13:57.746, 1, 0 %, 0 MiB
2026/09/02 20:14:02.747, 0, 0 %, 21657 MiB
2026/09/02 20:14:02.747, 1, 0 %, 0 MiB
2026/09/02 20:14:07.747, 0, 0 %, 21657 MiB
2026/09/02 20:14:07.748, 1, 0 %, 0 MiB
2026/09/02 20:14:12.748, 0, 0 %, 21657 MiB
2026/09/02 20:14:12.748, 1, 0 %, 0 MiB
2026/09/02 20:14:17.749, 0, 0 %, 21657 MiB
2026/09/02 20:14:17.749, 1, 0 %, 0 MiB
2026/09/02 20:14:22.750, 0, 41 %, 21657 MiB
2026/09/02 20:14:22.750, 1, 0 %, 0 MiB
2026/09/02 20:14:27.750, 0, 40 %, 21657 MiB
2026/09/02 20:14:27.750, 1, 0 %, 0 MiB
2026/09/02 20:14:32.751, 0, 40 %, 21657 MiB
2026/09/02 20:14:32.751, 1, 0 %, 0 MiB
2026/09/02 20:14:37.751, 0, 40 %, 21657 MiB
2026/09/02 20:14:37.752, 1, 0 %, 0 MiB
2026/09/02 20:14:42.752, 0, 40 %, 21657 MiB
2026/09/02 20:14:42.752, 1, 0 %, 0 MiB
2026/09/02 20:14:47.753, 0, 40 %, 21657 MiB
2026/09/02 20:14:47.753, 1, 0 %, 0 MiB
2026/09/02 20:14:52.754, 0, 0 %, 21657 MiB
2026/09/02 20:14:52.754, 1, 0 %, 0 MiB
2026/09/02 20:14:57.754, 0, 0 %, 21657 MiB
2026/09/02 20:14:57.754, 1, 0 %, 0 MiB
