timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/02 18:53:29.870, 1, 0 %, 0 MiB
2026/09/02 18:53:34.871, 0, 0 %, 18747 MiB
2026/09/02 18:53:34.871, 1, 0 %, 0 MiB
2026/09/02 18:53:39.872, 0, 0 %, 18747 MiB
2026/09/02 18:53:39.872, 1, 0 %, 0 MiB
2026/09/02 18:53:44.872, 0, 0 %, 18747 MiB
2026/09/02 18:53:44.872, 1, 0 %, 0 MiB
2026/09/02 18:53:49.873, 0, 0 %, 18747 MiB
2026/09/02 18:53:49.873, 1, 0 %, 0 MiB
2026/09/02 18:53:54.874, 0, 0 %, 18747 MiB
2026/09/02 18:53:54.874, 1, 0 %, 0 MiB
2026/09/02 18:53:59.874, 0, 0 %, 18747 MiB
2026/09/02 18:53:59.874, 1, 0 %, 0 MiB
2026/09/02 18:54:04.875, 0, 0 %, 18747 MiB
2026/09/02 18:54:04.875, 1, 0 %, 0 MiB
2026/09/02 18:54:09.876, 0, 0 %, 18747 MiB
2026/09/02 18:54:09.876, 1, 0 %, 0 MiB
2026/09/02 18:54:14.876, 0, 0 %, 18747 MiB
2026/09/02 18:54:14.876, 1, 0 %, 0 MiB
2026/09/02 18:54:19.877, 0, 0 %, 18747 MiB
2026/09/02 18:54:19.877, 1, 0 %, 0 MiB
2026/09/02 18:54:24.878, 0, 0 %, 18747 MiB
2026/09/02 18:54:24.878, 1, 0 %, 0 MiB
2026/09/02 18:54:29.878, 0, 0 %, 18747 MiB
2026/09/02 18:54:29.879, 1, 0 %, 0 MiB
2026/09/02 18:54:34.879, 0, 0 %, 18747 MiB
2026/09/02 18:54:34.879, 1, 0 %, 0 MiB
2026/09/02 18:54:39.880, 0, 0 %, 18747 MiB
2026/09/02 18:54:39.880, 1, 0 %, 0 MiB
2026/09/02 18:54:44.880, 0, 0 %, 18747 MiB
2026/09/02 18:54:44.881, 1, 0 %, 0 MiB
2026/09/02 18:54:49.881, 0, 0 %, 18747 MiB
2026/09/02 18:54:49.881, 1, 0 %, 0 MiB
2026/09/02 18:54:54.882, 0, 0 %, 18747 MiB
2026/09/02 18:54:54.882, 1, 0 %, 0 MiB
2026/09/02 18:54:59.883, 0, 0 %, 18747 MiB
2026/09/02 18:54:59.883, 1, 0 %, 0 MiB
2026/09/02 18:55:04.884, 0, 0 %, 18747 MiB
2026/09/02 18:55:04.884, 1, 0 %, 0 MiB
2026/09/02 18:55:09.884, 0, 0 %, 18747 MiB
2026/09/02 18:55:09.885, 1, 0 %, 0 MiB
2026/09/02 18:55:14.885, 0, 0 %, 18747 MiB
2026/09/02 18:55:14.885, 1, 0 %, 0 MiB
2026/09/02 18:55:19.885, 0, 0 %, 18747 MiB
2026/09/02 18:55:19.886, 1, 0 %, 0 MiB
2026/09/02 18:55:24.886, 0, 0 %, 18747 MiB
2026/09/02 18:55:24.886, 1, 0 %, 0 MiB
2026/09/02 18:55:29.887, 0, 0 %, 18747 MiB
2026/09/02 18:55:29.887, 1, 0 %, 0 MiB
